file,title,company,location,country,domain,seniority,years_required,cert_count,tool_count,framework_count,salary_raw,salary_usd,anomaly_flags
job_001.txt,SOC Analyst - Tier 2,Secureworks,"Bengaluru, Karnataka, India",India,SOC,Mid,3,4,3,3,"INR 14,00,000 - 20,00,000 annually",20400.0,UNDERPAID_EXPERIENCED
job_002.txt,Incident Response Analyst,Palo Alto Networks - Unit 42,Singapore,Singapore,SOC,Mid,4,2,0,0,"SGD 9,500 - 13,500 per month",102396.0,CLEAN
job_003.txt,Penetration Tester - Cloud and Infrastructure,WithSecure (formerly F-Secure),"London, United Kingdom",UK,Penetration Testing,Mid,3,2,4,2,"GBP 65,000 - 85,000 annually",95250.0,TOOL_STACK_ABUSE
job_004.txt,Bug Bounty Hunter - Security Researcher,HackerOne,Remote - Global,USA,Penetration Testing,Mid,3,2,2,1,"USD 80,000 - 120,000 annually",100000.0,CLEAN
job_005.txt,Cloud Security Architect,HSBC Global Technology,Hong Kong,Hong Kong,Cloud Security,Senior,7,5,3,1,"HKD 80,000 - 110,000 per month",145920.0,CERT_OVERLOAD
job_006.txt,DevSecOps Engineer - Platform Security,Flipkart,"Bengaluru, Karnataka, India",India,Cloud Security,Mid,4,3,3,0,"INR 28,00,000 - 40,00,000 annually",40800.0,CLEAN
job_007.txt,Application Security Engineer - Payments,PayPal,"Chennai, Tamil Nadu, India",India,AppSec,Mid,4,3,4,3,"INR 32,00,000 - 48,00,000 annually",48000.0,TOOL_STACK_ABUSE
job_008.txt,Senior AppSec Engineer - Mobile,Grab,Singapore,Singapore,AppSec,Senior,5,2,1,0,"SGD 11,000 - 15,000 per month",115752.0,CLEAN
job_009.txt,IAM Security Engineer - Okta Specialist,Wipro Cybersecurity,"Hyderabad, India",India,IAM,Mid,4,2,3,2,"INR 20,00,000 - 30,00,000 annually",30000.0,CLEAN
job_010.txt,Privileged Access Management Consultant,Accenture Security,"Dubai, UAE",UAE,IAM,Mid,5,2,5,1,"AED 28,000 - 40,000 per month",110976.0,TOOL_STACK_ABUSE
job_011.txt,Security Operations Analyst,ZS Associates,"Pune, Maharashtra, India",India,SOC,Mid,3,1,1,0,Not Listed,,CLEAN
job_012.txt,Security Operations Engineer - SIEM,DXC Technology,"Bengaluru, Karnataka, India",India,SOC,Mid,3,3,3,2,"INR 16,00,000 - 24,00,000 annually",24000.0,UNDERPAID_EXPERIENCED
job_013.txt,Web Application Penetration Tester,Synack Red Team,Remote - Global,USA,Penetration Testing,Mid,3,3,2,1,"USD 90,000 - 130,000 annually",110000.0,CLEAN
job_014.txt,Offensive Security Engineer - Red Team,Paytm (One97 Communications),"Noida, Uttar Pradesh, India",India,Penetration Testing,Mid,4,3,5,1,"INR 25,00,000 - 40,00,000 annually",39000.0,TOOL_STACK_ABUSE
job_015.txt,Cloud Security Engineer - AWS Specialist,Razorpay,"Bengaluru, Karnataka, India",India,Cloud Security,Mid,4,3,4,0,"INR 26,00,000 - 38,00,000 annually",38400.0,TOOL_STACK_ABUSE
job_016.txt,Container Security Engineer,Thoughtworks,"Pune, Maharashtra, India",India,Cloud Security,Mid,3,3,1,0,"INR 20,00,000 - 30,00,000 annually",30000.0,CLEAN
job_017.txt,AppSec Lead - Secure SDLC,Infosys Cyber Next,"Hyderabad, India",India,AppSec,Senior,6,3,3,5,"INR 28,00,000 - 42,00,000 annually",42000.0,CLEAN
job_018.txt,API Security Engineer,Zomato,"Gurugram, Haryana, India",India,AppSec,Mid,3,2,1,1,"INR 22,00,000 - 32,00,000 annually",32400.0,CLEAN
job_019.txt,Zero Trust Architect,Tata Consultancy Services,"Mumbai, Maharashtra, India",India,IAM,Senior,8,3,2,2,"INR 30,00,000 - 50,00,000 annually",48000.0,SENIOR_EXPLOITATION
job_020.txt,Identity Security Analyst - CyberArk,HDFC Bank,"Mumbai, Maharashtra, India",India,IAM,Mid,3,2,2,2,"INR 15,00,000 - 22,00,000 annually",22200.0,UNDERPAID_EXPERIENCED
job_021.txt,Cybersecurity Risk Analyst,Deloitte Risk Advisory,"Mumbai, Maharashtra, India",India,GRC,Mid,4,5,3,3,"INR 12,00,000 - 18,00,000 annually",18000.0,CERT_OVERLOAD|UNDERPAID_EXPERIENCED
job_022.txt,Information Security Compliance Manager,EY (Ernst & Young),"Bengaluru, Karnataka, India",India,GRC,Senior,5,6,0,4,"INR 18,00,000 - 28,00,000 annually",27600.0,CERT_OVERLOAD|UNDERPAID_EXPERIENCED
job_023.txt,Senior IT Auditor - Cybersecurity,PwC India,"Hyderabad, India",India,GRC,Senior,6,5,1,2,"INR 15,00,000 - 22,00,000 annually",22200.0,CERT_OVERLOAD|UNDERPAID_EXPERIENCED
job_024.txt,GRC Analyst - Cloud Security Compliance,Cognizant Technology Solutions,"Chennai, Tamil Nadu, India",India,GRC,Mid,3,4,0,2,"INR 12,00,000 - 18,00,000 annually",18000.0,UNDERPAID_EXPERIENCED
job_025.txt,Network Security Engineer - NGFW,Palo Alto Networks MSSP,Singapore,Singapore,Network Security,Mid,4,3,6,2,"SGD 8,500 - 12,000 per month",91266.0,TOOL_STACK_ABUSE
job_026.txt,Senior Network Security Architect,Standard Chartered Bank,"London, United Kingdom",UK,Network Security,Senior,8,3,3,2,"GBP 85,000 - 115,000 annually",127000.0,SENIOR_EXPLOITATION
job_027.txt,DFIR Analyst - Malware and Threat Intelligence,KPMG Cyber Response,"Bengaluru, Karnataka, India",India,DFIR,Mid,3,3,5,2,"INR 18,00,000 - 28,00,000 annually",27600.0,TOOL_STACK_ABUSE|UNDERPAID_EXPERIENCED
job_028.txt,Senior Incident Response Consultant,Secureworks Incident Response,"Dubai, UAE",UAE,DFIR,Senior,6,5,4,0,"AED 30,000 - 45,000 per month",122400.0,CERT_OVERLOAD|TOOL_STACK_ABUSE
job_029.txt,OT/ICS Security Engineer,Siemens Energy,"Mumbai, Maharashtra, India",India,OT/ICS Security,Mid,4,5,3,3,"INR 20,00,000 - 32,00,000 annually",31200.0,CERT_OVERLOAD
job_030.txt,ICS Cybersecurity Consultant,Dragos Inc.,Remote - Singapore,Singapore,OT/ICS Security,Mid,5,4,3,3,"SGD 10,000 - 15,000 per month",111300.0,CLEAN
job_031.txt,Data Privacy Engineer,Flipkart,"Bengaluru, Karnataka, India",India,Data Privacy,Mid,3,4,3,2,"INR 22,00,000 - 35,00,000 annually",34200.0,CLEAN
job_032.txt,Data Protection Officer (DPO),HDFC Life Insurance,"Mumbai, Maharashtra, India",India,Data Privacy,Senior,7,6,2,2,"INR 28,00,000 - 45,00,000 annually",43800.0,CERT_OVERLOAD
job_033.txt,Operational Technology (OT) Cybersecurity Analyst,Barry-Wehmiller,"Chennai, India",India,OT/ICS Security,Mid,5,0,0,0,"INR 3,00,000 - 7,00,000 annually",6000.0,UNDERPAID_EXPERIENCED
